<<<<<<< HEAD
G-580A, DE_G0580A.csv, 3900.090
G-860,  DE_G0860.csv,  1890.090
G-906,  DE_G0906.csv,   133.090
G-913,  DE_G0913.csv,   130.216
G-916,  DE_G0916.csv,   130.002
G-930,  DE_G0930.csv,    50.335
G-931,  DE_G0931.csv,    50.684
G-3611, DE_G3611.csv,   865.000
G-3646, DE_G3646.csv,     7.000
G-3647, DE_G3647.csv,     0.900
G-3648, DE_G3648.csv,     4.600
G-3649, DE_G3649.csv,     1.500
G-3752, DE_G3752.csv,    37.962
G-3753, DE_G3753.csv,    45.804
G-3754, DE_G3754.csv,    39.444
G-3755, DE_G3755.csv,   301.109
S-118T, DE_S118T.csv,  -999.999
S-119T, DE_S119T.csv,  -999.999
S-123H, DE_S123H.csv,  -999.999
=======
G-906,  DE_G0906.csv,  133.090
G-913,  DE_G0913.csv,  130.216
G-916,  DE_G0916.csv,  130.002
G-930,  DE_G0930.csv,   50.335
G-931,  DE_G0931.csv,   50.684
G-3611, DE_G3611.csv,  865.000
G-3646, DE_G3646.csv,    7.000
G-3647, DE_G3647.csv,    0.900
G-3648, DE_G3648.csv,    4.600
G-3649, DE_G3649.csv,    1.500
G-3752, DE_G3752.csv,   37.962
G-3753, DE_G3753.csv,   45.804
G-3754, DE_G3754.csv,   39.444
G-3755, DE_G3755.csv,  301.109
S-118T, DE_S118T.csv, -999.999
S-119T, DE_S119T.csv, -999.999
S-123H, DE_S123H.csv, -999.999
>>>>>>> aa6c90b31e92908fdc7824cd0f7b841f87e77a7f
